index,EN,PT
0,Go.,Vai.
1,Go.,Vá.
2,Hi.,Oi.
3,Run!,Corre!
4,Run!,Corra!
5,Run!,Corram!
6,Run.,Corre!
7,Run.,Corra!
8,Run.,Corram!
9,Who?,Quem?
10,Who?,Que
11,Wow!,Uau!
12,Wow!,Nossa!
13,Wow!,Wow!
14,Fire!,Fogo!
15,Fire!,Incêndio!
16,Fire!,Chama!
17,Help!,Ajuda!
18,Help!,Socorro!
19,Jump!,Pule!
20,Jump!,Pula!
21,Jump.,Pulem.
22,Jump.,Pule.
23,Jump.,Pulam.
24,Stop!,Pare!
25,Stop!,Parem!
26,Stop!,Parada!
27,Stop!,Ponto!
28,Stop!,Pará!
29,Wait!,Espere!
30,Wait!,Aguarde!
31,Wait.,Espere!
32,Wait.,Esperem.
33,Go on.,Siga em frente.
34,Go on.,Vá!
35,Go on.,Continue.
36,Go on.,Siga adiante.
37,Hello!,Oi.
38,Hello!,Alô.
39,Hello!,Olá!
40,Hello!,Alô!
41,I ran.,Eu corri.
42,I see.,Eu sei.
43,I see.,Eu entendo.
44,I see.,Estou vendo.
45,I see.,Eu vejo.
46,I see.,Eu assisto.
47,I try.,Eu tento.
48,I try.,Tento.
49,I won!,Ganhei!
50,I won.,Eu venci.
51,Oh no!,Ah não!
52,Relax.,Relaxe!
53,Relax.,Relaxa!
54,Relax.,Relaxe.
55,Shoot!,Tiro!
56,Smile.,Sorria.
57,Smile.,Sorriam.
58,Attack!,Atacar!
59,Attack!,Ataquem!
60,Attack!,Ataque!
61,Cheers!,Saúde!
62,Freeze!,Parado!
63,Get up.,Levante-se!
64,Get up.,Levantem-se!
65,Get up.,Levanta-te.
66,Get up.,Levante-se.
67,Get up.,Levanta-te!
68,Go now.,Vá agora.
69,Got it!,Entendi.
70,Got it!,Eu entendi!
71,Got it!,Saquei!
72,Got it?,Entendeu?
73,He ran.,Ele correu.
74,He ran.,Ele corria.
75,Hop in.,Sobe aí!
76,Hop in.,Entra aí!
77,Hug me.,Me abrace.
78,I fell.,Eu caí.
79,I knit.,Eu tricoto.
80,I know.,Eu sei.
81,I know.,Sei.
82,I left.,Eu saí.
83,I lied.,Eu menti.
84,I paid.,Eu paguei.
85,I quit.,Eu me demito.
86,I work.,Eu estou trabalhando.
87,I'm OK.,Estou bem.
88,I'm OK.,Eu vou bem.
89,I'm up.,Estou acordado.
90,Listen.,Escute!
91,Listen.,Ouça-me!
92,Listen.,Escuta!
93,Listen.,Escutem!
94,Listen.,Ouça isso!
95,Listen.,Escutem-me!
96,Listen.,Escute.
97,Listen.,Escuta.
98,Listen.,Escutem.
99,Listen.,Escutai.
100,No way!,De jeito nenhum!
101,No way!,Impossível!
102,No way!,De maneira alguma!
103,No way!,De modo algum!
104,No way!,Sem chance!
105,Really?,Sério?
106,Really?,É mesmo?
107,Really?,Mesmo?
108,Really?,É sério?
109,Thanks.,Obrigado!
110,Thanks.,Obrigada!
111,Thanks.,Obrigado.
112,Thanks.,Obrigada.
113,Try it.,Tenta-o.
114,Try it.,Prove-o.
115,Try it.,Prove-a.
116,We hid.,Nós escondemos.
117,We hid.,Nós nos escondemos.
118,We ran.,Nós corremos.
119,We ran.,Corremos.
120,We try.,Tentamos.
121,We try.,Nós tentamos.
122,We won.,Vencemos.
123,We won.,Nós vencemos.
124,Why me?,Por que eu?
125,Ask Tom.,Pergunte a Tom.
126,Ask Tom.,Peça a Tom.
127,Ask Tom.,Pergunta para o Tom.
128,Ask Tom.,Peça para o Tom.
129,Ask Tom.,Peça ao Tom.
130,Ask Tom.,Perguntem ao Tom.
131,Be calm.,Fique calmo.
132,Be calm.,Tenha calma.
133,Be cool.,Seja legal.
134,Be fair.,Sede justos!
135,Be fair.,Sede justas!
136,Be fair.,Sejam justos!
137,Be fair.,Sejam justas!
138,Be fair.,Seja justo!
139,Be fair.,Seja justa!
140,Be fair.,Sê justo!
141,Be fair.,Sê justa!
142,Be good.,Seja bom.
143,Be good.,Seja boa.
144,Be good.,Sejam bons.
145,Be good.,Sejam boas.
146,Be good.,Sê bom.
147,Be good.,Sê boa.
148,Be good.,Sede bons.
149,Be good.,Sede boas.
150,Be kind.,Seja gentil.
151,Be kind.,Sejam gentis.
152,Be kind.,Sede gentis.
153,Be kind.,Sê gentil.
154,Be nice.,Seja legal.
155,Be nice.,Sejam legais.
156,Beat it.,Se manda!
157,Beat it.,Vaza!
158,Call me.,Me liga.
159,Call us.,Ligue para a gente.
160,Come in.,Entre.
161,Come in.,Entre!
162,Come in.,Entrem!
163,Come in.,Entra.
164,Come on!,Vamos!
165,Come on!,Venha!
166,Come on!,Qual é!
167,Come on.,Vamos!
168,Drop it!,Solte-o!
169,Drop it!,Largue isso.
170,Get Tom.,Pegue Tom.
171,Get out!,Saia!
172,Get out!,Saia daqui!
173,Get out!,Fora!
174,Get out!,Sai.
175,Get out!,Saiam!
176,Get out.,Saia.
177,Get out.,Sai.
178,Go away!,Afaste-se!
179,Go away.,Cai fora!
180,Go away.,Vá embora!
181,Go away.,Fora!
182,Go away.,Se manda!
183,Go away.,Vá embora.
184,Go away.,Afaste-se!
185,Go away.,Cai fora daqui!
186,Go home.,Vão para casa.
187,Go home.,Vá para casa.
188,Goodbye!,Tchau!
189,Goodbye!,Até mais!
190,Goodbye!,Até a vista!
191,Goodbye!,Até logo!
192,Goodbye!,Até mais ver!
193,Goodbye!,Até o rever!
194,Hang on!,Aguarde.
195,Hang on!,Aguardem.
196,Hang on.,Aguarde.
